n1.name,n2.name,r.statistic_score
KRAS,MSI2,0.4
KRAS,ZCCHC9,0.5
KRAS,NR1H2,0.446
KRAS,OXR1,0.5
KRAS,ETV4,0.6
KRAS,CEP57,0.5
KRAS,TSSK6,0.75
KRAS,PTMA,0.5
KRAS,ZNF620,0.6
KRAS,RGS5,0.482
KRAS,RUVBL2,0.6
KRAS,RLF,0.75
KRAS,ZNHIT3,0.443
KRAS,KBTBD4,0.6
KRAS,LTN1,0.5
KRAS,LMLN,0.6
KRAS,CAPG,0.6
KRAS,PGAM1,0.6
KRAS,ZNF32,0.446
KRAS,ZDHHC6,0.6
KRAS,CSNK2B,0.5
KRAS,SAMM50,0.6
KRAS,ATP1A3,0.6
KRAS,SNUPN,0.473
KRAS,RBKS,0.75
KRAS,GRIN2C,0.6
KRAS,ULK2,0.75
KRAS,LARS1,0.5
KRAS,MAT1A,0.5
KRAS,TBC1D3C,0.5
KRAS,SH2D3A,0.75
KRAS,NAGA,0.6
KRAS,LATS1,0.75
KRAS,RPS19,0.6
KRAS,UHMK1,0.44
KRAS,STK32A,0.6
KRAS,NGLY1,0.455
KRAS,SPINK2,0.473
KRAS,UBE2U,0.44
KRAS,YES1,0.443
KRAS,ZNF117,0.6
KRAS,GMEB1,0.6
KRAS,SH2D2A,0.6
KRAS,NOL6,0.503
KRAS,TEX10,0.5
KRAS,HTRA3,0.5
KRAS,MAPKAP1,0.75
KRAS,USP50,0.5
KRAS,PRSS21,0.6
KRAS,MAML2,0.4
KRAS,LONRF3,0.443
KRAS,DHFR,0.5
KRAS,BRAF,0.75
KRAS,RTL10,0.6
KRAS,SERPINB9,0.6
KRAS,SURF6,0.5
KRAS,CDK17,0.6
KRAS,TFIP11,0.6
KRAS,RPS18,0.5
KRAS,RBFOX1,0.5
KRAS,TRIM21,0.443
KRAS,FBXO5,0.5
KRAS,AXL,0.75
KRAS,IMP4,0.5
KRAS,NCOR1,0.449
KRAS,ALOX15B,0.6
KRAS,VDAC1,0.855
KRAS,PYM1,0.449
KRAS,ZNF74,0.458
KRAS,MARS1,0.5
KRAS,MAPKAPK5,0.75
KRAS,ZNF83,0.6
KRAS,MECR,0.5
KRAS,SCARF1,0.44
KRAS,NME7,0.75
KRAS,RAB29,0.443
KRAS,SPC24,0.491
KRAS,H3-3B,0.6
KRAS,ME1,0.6
KRAS,NR1I3,0.75
KRAS,NRXN3,0.5
KRAS,MICAL1,0.44
KRAS,CAMK2G,0.75
KRAS,RAD54L2,0.449
KRAS,CFLAR,0.6
KRAS,NUAK2,0.75
KRAS,DDX27,0.5
KRAS,YME1L1,0.464
KRAS,TXNRD2,0.5
KRAS,PRDM4,0.464
KRAS,COPS8,0.75
KRAS,MKNK2,0.75
KRAS,RRP36,0.5
KRAS,ITFG1,0.6
KRAS,EXOSC10,0.6
KRAS,TMEM30B,0.452
KRAS,PPP4C,0.5
KRAS,RTF1,0.6
KRAS,AKT3,0.75
KRAS,C4orf46,0.458
KRAS,TAF1,0.6
KRAS,STK25,0.75
KRAS,WNT9A,0.449
KRAS,ATP6V0C,0.5
KRAS,PCID2,0.452
KRAS,MAPRE1,0.6
KRAS,TBC1D1,0.452
KRAS,SPNS2,0.5
KRAS,MARCHF5,0.455
KRAS,HIPK3,0.75
KRAS,CDK12,0.6
KRAS,PANX2,0.6
KRAS,PPFIA1,0.461
KRAS,WARS2,0.5
KRAS,RTTN,0.6
KRAS,EBLN2,0.75
KRAS,TANGO6,0.5
KRAS,MMACHC,0.6
KRAS,MAP3K12,0.6
KRAS,NOC2L,0.5
KRAS,RALGPS2,0.6
KRAS,NAE1,0.75
KRAS,BMS1,0.5
KRAS,HDAC5,0.6
KRAS,RPL27,0.6
KRAS,PRPF8,0.5
KRAS,SMG6,0.5
KRAS,LTA4H,0.6
KRAS,RPS6KA1,0.75
KRAS,RAF1,0.75
KRAS,RRM2B,0.446
KRAS,PPP1R14D,0.75
KRAS,CSNK1E,0.75
KRAS,RPL18A,0.6
KRAS,NFYB,0.5
KRAS,FBLN1,0.6
KRAS,SRPK3,0.44
KRAS,UQCR10,0.75
KRAS,PER1,0.4
KRAS,POLR2K,0.6
KRAS,SLC9A1,0.6
KRAS,TCTE1,0.443
KRAS,COQ8B,0.75
KRAS,EIF3F,0.452
KRAS,MPL,0.455
KRAS,NAT1,0.5
KRAS,MANF,0.6
KRAS,ACACA,0.5
KRAS,RACK1,0.75
KRAS,CPNE1,0.75
KRAS,RPS15,0.458
KRAS,USP17L21,0.5
KRAS,MVD,0.5
KRAS,ZBED3,0.5
KRAS,PRELID1,0.6
KRAS,ADK,0.75
KRAS,GNG12,0.6
KRAS,LPXN,0.6
KRAS,NEU1,0.443
KRAS,EFCAB12,0.75
KRAS,AFTPH,0.5
KRAS,STK33,0.75
KRAS,MAPK1,0.5
KRAS,WWP2,0.75
KRAS,MORC2,0.5
KRAS,SNRPD3,0.6
KRAS,CYC1,0.5
KRAS,RAD50,0.6
KRAS,SLC9A7,0.458
KRAS,UGT3A1,0.44
KRAS,VASH1,0.5
KRAS,RFESD,0.5
KRAS,ACTR2,0.75
KRAS,RNF40,0.75
KRAS,NVL,0.47
KRAS,NAPA,0.6
KRAS,CSNK1A1L,0.75
KRAS,CWC22,0.6
KRAS,WBP11,0.6
KRAS,SNAI2,0.75
KRAS,GRK6,0.75
KRAS,SHOC2,0.5
KRAS,MAML1,0.6
KRAS,PRORP,0.5
KRAS,FGF3,0.6
KRAS,NEK11,0.75
KRAS,HCAR1,0.75
KRAS,GSK3A,0.6
KRAS,CDK13,0.75
KRAS,PKD2L1,0.449
KRAS,RNASEL,0.75
KRAS,C8orf37,0.6
KRAS,R3HDM2,0.449
KRAS,CDKN2C,0.75
KRAS,WNK3,0.446
KRAS,UBE2J1,0.5
KRAS,PPARA,0.4
KRAS,CTSC,0.6
KRAS,PIK3R2,0.75
KRAS,RBM47,0.6
KRAS,RETNLB,0.461
KRAS,NIFK,0.458
KRAS,SQSTM1,0.44
KRAS,MFSD14B,0.6
KRAS,TMEM102,0.458
KRAS,SLC2A11,0.6
KRAS,RPS25,0.449
KRAS,KIT,0.75
KRAS,MYL12B,0.458
KRAS,SLAMF8,0.5
KRAS,PCSK4,0.6
KRAS,SLC35B4,0.6
KRAS,FOXL1,0.6
KRAS,RNFT1,0.6
KRAS,CALM1,0.75
KRAS,RGP1,0.75
KRAS,PFDN1,0.455
KRAS,RPL37,0.6
KRAS,ZNF254,0.458
KRAS,ZFX,0.449
KRAS,PASK,0.75
KRAS,PANK4,0.75
KRAS,RPTOR,0.5
KRAS,TRIM52,0.452
KRAS,ZNF189,0.6
KRAS,PHF21B,0.461
KRAS,SSBP1,0.5
KRAS,ULBP1,0.5
KRAS,XPO4,0.6
KRAS,COCH,0.6
KRAS,COLCA2,0.5
KRAS,NAA10,0.75
KRAS,SHE,0.446
KRAS,TNNT3,0.44
KRAS,NBN,0.5
KRAS,PRKAR2B,0.75
KRAS,ATP6V1G1,0.5
KRAS,PITPNM3,0.5
KRAS,GPR180,0.6
KRAS,PEAK1,0.452
KRAS,GRB2,0.5
KRAS,MAP3K8,0.75
KRAS,ERCC3,0.5
KRAS,PDZK1IP1,0.6
KRAS,FAM178B,0.443
KRAS,MYO9B,0.6
KRAS,NOP2,0.5
KRAS,SOS1,0.5
KRAS,EPHA1,0.75
KRAS,EMILIN2,0.6
KRAS,SRP54,0.6
KRAS,GPI,0.5
KRAS,RAB13,0.6
KRAS,AMD1,0.6
KRAS,ILK,0.75
KRAS,VWDE,0.75
KRAS,CYLD,0.75
KRAS,ANGEL1,0.6
KRAS,ACLY,0.6
KRAS,RAD23B,0.476
KRAS,RSKR,0.75
KRAS,CXorf38,0.6
KRAS,RET,0.75
KRAS,RAB41,0.44
KRAS,MCM2,0.6
KRAS,PDE3A,0.479
KRAS,MTG2,0.5
KRAS,U2AF1,0.452
KRAS,MRPL46,0.5
KRAS,DYSF,0.75
KRAS,SLC66A1,0.449
KRAS,PIK3R4,0.6
KRAS,EZH2,0.4
KRAS,TRIP11,0.4
KRAS,CLEC11A,0.5
KRAS,NFATC2,0.455
KRAS,PAF1,0.6
KRAS,INMT,0.5
KRAS,OFCC1,0.44
KRAS,CNIH1,0.6
KRAS,B4GALT5,0.6
KRAS,MYC,0.4305
KRAS,SLC10A7,0.6
KRAS,TEC,0.75
KRAS,UBE2L6,0.5
KRAS,PKNOX1,0.6
KRAS,TIAM1,0.75
KRAS,ZNRF1,0.443
KRAS,PARP8,0.6
KRAS,VPS26A,0.6
KRAS,UNC45A,0.446
KRAS,INSRR,0.75
KRAS,DYNC1I2,0.6
KRAS,MOB3C,0.5
KRAS,NOP56,0.75
KRAS,TMEM86B,0.44
KRAS,USP4,0.5
KRAS,TMEM109,0.443
KRAS,CAMK2B,0.75
KRAS,DOCK3,0.6
KRAS,MDH1,0.467
KRAS,PPP2R5A,0.75
KRAS,SSU72,0.6
KRAS,DIDO1,0.75
KRAS,RPS11,0.5
KRAS,TMEM116,0.6
KRAS,PDZD8,0.443
KRAS,NUBP2,0.5
KRAS,GNAQ,0.6
KRAS,SNRPA1,0.6
KRAS,MAPK9,0.75
KRAS,UBA52,0.479
KRAS,PFKP,0.5
KRAS,NMBR,0.5
KRAS,NDFIP2,0.6
KRAS,NHEJ1,0.6
KRAS,TNFRSF12A,0.6
KRAS,FAM181A,0.6
KRAS,PTCH2,0.75
KRAS,UBE2D4,0.443
KRAS,TRIO,0.6
KRAS,UBR1,0.6
KRAS,CENPK,0.5
KRAS,SEPTIN1,0.467
KRAS,ZPR1,0.461
KRAS,SGMS1,0.6
KRAS,PSPH,0.6
KRAS,COPE,0.5
KRAS,USP38,0.5
KRAS,PHF20,0.527
KRAS,RPF1,0.75
KRAS,OR14A16,0.458
KRAS,CDR2,0.6
KRAS,USP49,0.458
KRAS,ARPC2,0.75
KRAS,PCYT2,0.6
KRAS,PIM2,0.75
KRAS,WDR47,0.5
KRAS,KCNH7,0.75
KRAS,TNRC6C,0.452
KRAS,SMN1,0.446
KRAS,GLYATL3,0.449
KRAS,KMT2C,0.4
KRAS,NOG,0.5
KRAS,LARP7,0.5
KRAS,ZCCHC14,0.5
KRAS,COPA,0.6
KRAS,UBE2H,0.5
KRAS,TTC3,0.452
KRAS,RPL37A,0.5
KRAS,HUWE1,0.75
KRAS,YBX1,0.6
KRAS,UBE2I,0.75
KRAS,HKDC1,0.6
KRAS,ZNF608,0.44
KRAS,RALY,0.6
KRAS,PPP6R3,0.6
KRAS,SCAMP3,0.449
KRAS,RPS4X,0.461
KRAS,POFUT1,0.44
KRAS,CLDN11,0.6
KRAS,VWA5A,0.6
KRAS,NFKB2,0.4
KRAS,ZNF2,0.467
KRAS,SCFD2,0.464
KRAS,CDC23,0.5
KRAS,DNM1L,0.5
KRAS,C12orf66,0.6
KRAS,ZFYVE9,0.6
KRAS,CLNS1A,0.5
KRAS,KPNA7,0.443
KRAS,NT5DC2,0.6
KRAS,CDK5R2,0.75
KRAS,SMG5,0.6
KRAS,ZNF76,0.446
KRAS,CDK11B,0.6
KRAS,ZNF174,0.6
KRAS,BID,0.6
KRAS,MRPL39,0.452
KRAS,RPS14,0.44
KRAS,BRCA2,0.6
KRAS,IL17D,0.6
KRAS,NF1,0.4
KRAS,MCM5,0.446
KRAS,DDIT4,0.6
KRAS,CMPK1,0.6
KRAS,FNBP4,0.6
KRAS,THAP10,0.443
KRAS,POLR1A,0.5
KRAS,MX1,0.44
KRAS,PAPPA2,0.5
KRAS,NDUFS1,0.5
KRAS,RPL32,0.5
KRAS,ARRDC1,0.6
KRAS,SCYL3,0.6
KRAS,UFL1,0.5
KRAS,PRTFDC1,0.455
KRAS,RUVBL1,0.5
KRAS,CSRNP1,0.75
KRAS,PLP1,0.44
KRAS,PKN3,0.75
KRAS,SRMS,0.44
KRAS,ZBTB12,0.5
KRAS,CDK2,0.75
KRAS,PHB,0.5
KRAS,SLC2A10,0.6
KRAS,TNXB,0.44
KRAS,SEMA4F,0.452
KRAS,ISY1,0.5
KRAS,NXF1,0.6
KRAS,RASGEF1C,0.44
KRAS,CIB3,0.75
KRAS,CERT1,0.6
KRAS,MCU,0.6
KRAS,HNRNPC,0.5
KRAS,RASL10A,0.5
KRAS,TRIM11,0.6
KRAS,PKLR,0.75
KRAS,PGA5,0.5
KRAS,TRIM46,0.515
KRAS,EIF5B,0.5
KRAS,GRK4,0.75
KRAS,NEDD1,0.5
KRAS,PKD2,0.75
KRAS,WDR25,0.5
KRAS,PCDHA11,0.6
KRAS,RNF20,0.44
KRAS,LENG1,0.446
KRAS,NME6,0.75
KRAS,GGPS1,0.5
KRAS,DIAPH2,0.6
KRAS,ORC5,0.506
KRAS,FAM50B,0.6
KRAS,HS2ST1,0.6
KRAS,DCAF16,0.6
KRAS,EPHB4,0.6
KRAS,PPM1E,0.44
KRAS,ERN1,0.75
KRAS,GAS2L2,0.6
KRAS,YWHAE,0.6
KRAS,SLC22A15,0.6
KRAS,SUPT16H,0.5
KRAS,MDH2,0.452
KRAS,IGF1R,0.75
KRAS,VWF,0.5
KRAS,TNIK,0.476
KRAS,SEC23B,0.5
KRAS,ANAPC4,0.6
KRAS,CIT,0.75
KRAS,ATP5PO,0.5
KRAS,CKMT1B,0.6
KRAS,CLK2,0.6
KRAS,SLC7A5,0.449
KRAS,PPAT,0.5
KRAS,TMEM144,0.6
KRAS,PDGFC,0.6
KRAS,KATNBL1,0.6
KRAS,PIGV,0.443
KRAS,NXT2,0.6
KRAS,YARS2,0.6
KRAS,CDKN2D,0.75
KRAS,LY96,0.443
KRAS,ZFP2,0.44
KRAS,WWC2,0.44
KRAS,HUNK,0.75
KRAS,SKP2,0.75
KRAS,POU2F2,0.455
KRAS,PCGF2,0.446
KRAS,LUC7L2,0.5
KRAS,PHF3,0.5
KRAS,TUBB1,0.464
KRAS,STAT2,0.6
KRAS,PMVK,0.5
KRAS,RPAP1,0.5
KRAS,KMT5B,0.446
KRAS,NUDT9,0.5
KRAS,VRK1,0.75
KRAS,NCEH1,0.6
KRAS,CCND2,0.4
KRAS,ZNF777,0.446
KRAS,KRCC1,0.6
KRAS,PIK3C3,0.4
KRAS,RAB3IL1,0.6
KRAS,BRCA1,0.6
KRAS,CHCHD2,0.6
KRAS,TTI2,0.5
KRAS,OAF,0.461
KRAS,C22orf42,0.75
KRAS,STRADA,0.452
KRAS,EIF2B5,0.6
KRAS,SRP72,0.44
KRAS,PPP1CC,0.5
KRAS,CDK8,0.75
KRAS,UBE2O,0.53
KRAS,TOMM40,0.443
KRAS,MN1,0.455
KRAS,SYVN1,0.5
KRAS,DGKK,0.75
KRAS,MPDZ,0.75
KRAS,CCDC114,0.6
KRAS,NR1I2,0.75
KRAS,TUBGCP3,0.509
KRAS,RPA1,0.75
KRAS,RPP38,0.452
KRAS,STK4,0.75
KRAS,PSMA5,0.75
KRAS,SHC1,0.5
KRAS,BIRC5,0.5
KRAS,DDX51,0.5
KRAS,CCT5,0.5
KRAS,SDHB,0.4
KRAS,FCF1,0.5
KRAS,MESD,0.6
KRAS,XPOT,0.5
KRAS,EIF3I,0.5
KRAS,RPL10,0.5
KRAS,PRRT2,0.56
KRAS,VPS25,0.6
KRAS,PANK2,0.6
KRAS,LRRN4CL,0.443
KRAS,CRLS1,0.5
KRAS,MST1R,0.75
KRAS,RAD51AP2,0.446
KRAS,ZNRF2,0.44
KRAS,FAM155B,0.6
KRAS,AP4S1,0.5
KRAS,PUM1,0.6
KRAS,SOD1,0.5
KRAS,RPS16,0.6
KRAS,MSH2,0.75
KRAS,SLC26A6,0.452
KRAS,TBK1,0.75
KRAS,PSMG4,0.5
KRAS,EOLA1,0.75
KRAS,PDE4DIP,0.464
KRAS,BUB1B,0.75
KRAS,TBX20,0.455
KRAS,NDUFV2,0.446
KRAS,EVL,0.6
KRAS,PPL,0.461
KRAS,NUP214,0.563
KRAS,CDC25C,0.6
KRAS,RPL7A,0.6
KRAS,RELN,0.75
KRAS,TMEM61,0.455
KRAS,UTP14A,0.443
KRAS,ORC3,0.5
KRAS,ZNF207,0.6
KRAS,ZNF418,0.458
KRAS,MLKL,0.485
KRAS,STK17A,0.75
KRAS,UCHL5,0.443
KRAS,YTHDC1,0.5
KRAS,TIMM13,0.5
KRAS,WEE1,0.75
KRAS,PSMC5,0.6
KRAS,STAT5B,0.6
KRAS,MVB12B,0.5
KRAS,DENND10,0.6
KRAS,DSTYK,0.75
KRAS,PLEKHG2,0.503
KRAS,TRIM49B,0.575
KRAS,SPECC1,0.44
KRAS,ZNF337,0.6
KRAS,PTPN9,0.6
KRAS,ACVR2A,0.75
KRAS,PHAX,0.5
KRAS,RFPL2,0.443
KRAS,ZNF493,0.5
KRAS,PHF5A,0.479
KRAS,LAMTOR3,0.446
KRAS,SEMA7A,0.443
KRAS,TP53I3,0.479
KRAS,TAF6,0.443
KRAS,DGKE,0.75
KRAS,PGBD2,0.443
KRAS,TLK2,0.6
KRAS,UTP18,0.6
KRAS,THADA,0.6
KRAS,DDX1,0.5
KRAS,RPS7,0.6
KRAS,PPARD,0.75
KRAS,EIF3G,0.75
KRAS,HAUS2,0.6
KRAS,ZNF827,0.6
KRAS,CDC73,0.75
KRAS,KDM8,0.5
KRAS,PRKG1,0.75
KRAS,PPP6C,0.5
KRAS,TCEA1,0.5
KRAS,TMED2,0.5
KRAS,LMO3,0.44
KRAS,KIF18A,0.6
KRAS,TFDP1,0.6
KRAS,ATP6V0D1,0.5
KRAS,RPL18,0.5
KRAS,PAM,0.5
KRAS,TRMT5,0.443
KRAS,TPT1,0.5
KRAS,PRPF6,0.5
KRAS,PRKCA,0.75
KRAS,WAC,0.515
KRAS,NARS1,0.443
KRAS,NCOA6,0.443
KRAS,TMEM17,0.44
KRAS,PHC3,0.446
KRAS,ETF1,0.5
KRAS,KDM3B,0.75
KRAS,MAPKAPK3,0.75
KRAS,AKIP1,0.75
KRAS,ZSCAN9,0.443
KRAS,PRSS55,0.455
KRAS,JADE3,0.464
KRAS,UQCRC2,0.5
KRAS,TYR,0.5
KRAS,RBBP6,0.449
KRAS,SPAG7,0.6
KRAS,CWF19L2,0.5
KRAS,PLAA,0.458
KRAS,ZCCHC3,0.6
KRAS,FGFR2,0.75
KRAS,CHEK1,0.75
KRAS,MYD88,0.6
KRAS,OXA1L,0.458
KRAS,PSMD11,0.5
KRAS,SVIL,0.6
KRAS,SRP9,0.5
KRAS,NAT2,0.446
KRAS,ODF3L1,0.521
KRAS,SYT16,0.75
KRAS,XAB2,0.6
KRAS,BCS1L,0.5
KRAS,EXOC1,0.6
KRAS,PARP16,0.6
KRAS,DNLZ,0.5
KRAS,NSUN7,0.464
KRAS,PPP1R13L,0.6
KRAS,YBX2,0.515
KRAS,LCK,0.75
KRAS,HIF1AN,0.6
KRAS,PDIK1L,0.6
KRAS,RPL31,0.6
KRAS,MLH3,0.75
KRAS,ANKRD11,0.5
KRAS,ZNF705E,0.449
KRAS,TIMM9,0.6
KRAS,ATXN1L,0.446
KRAS,TOMM6,0.452
KRAS,KIN,0.5
KRAS,UGCG,0.44
KRAS,MAPK6,0.6
KRAS,OR2H2,0.75
KRAS,XRCC5,0.5
KRAS,LIN9,0.5
KRAS,PRAMEF33,0.458
KRAS,CCDC112,0.6
KRAS,RPS6KA5,0.5
KRAS,CCT7,0.5
KRAS,ZNF449,0.6
KRAS,OR5M9,0.452
KRAS,PSMB3,0.5
KRAS,PUS7L,0.6
KRAS,RPF2,0.75
KRAS,PREX1,0.5
KRAS,MED13L,0.461
KRAS,NFE2L3,0.6
KRAS,CAMK4,0.75
KRAS,SBK2,0.449
KRAS,ARCN1,0.6
KRAS,POLE,0.44
KRAS,PPP2CB,0.6
KRAS,PRPF31,0.6
KRAS,PPAN-P2RY11,0.5
KRAS,RPL13,0.446
KRAS,FLT3LG,0.6
KRAS,RNASET2,0.6
KRAS,FAF2,0.5
KRAS,TRAPPC1,0.5
KRAS,VGLL2,0.443
KRAS,EPHA3,0.75
KRAS,RAP2C,0.6
KRAS,RPL9,0.6
KRAS,BRIP1,0.4
KRAS,SSH3,0.6
KRAS,LUZP1,0.6
KRAS,SLC7A1,0.6
KRAS,SLC25A26,0.449
KRAS,TTBK2,0.473
KRAS,MACROD2,0.443
KRAS,CBFA2T2,0.6
KRAS,AMACR,0.6
KRAS,GRK3,0.6
KRAS,DENND5B,0.44
KRAS,EIF3A,0.75
KRAS,LTBP2,0.449
KRAS,ATRN,0.6
KRAS,CDH1,0.75
KRAS,GPAT3,0.443
KRAS,GAB1,0.6
KRAS,PHTF2,0.6
KRAS,POLR2J2,0.6
KRAS,BTK,0.75
KRAS,MADD,0.75
KRAS,CHST5,0.6
KRAS,NONO,0.6
KRAS,TMEM126A,0.461
KRAS,KRT1,0.455
KRAS,NRM,0.446
KRAS,PSMA6,0.461
KRAS,LIN7A,0.473
KRAS,DAPK2,0.75
KRAS,PYGB,0.6
KRAS,RPS13,0.5
KRAS,ERCC6L2,0.461
KRAS,POLR2C,0.5
KRAS,LAPTM5,0.455
KRAS,SPPL2B,0.443
KRAS,HSPA5,0.6
KRAS,MYBL2,0.44
KRAS,RBM8A,0.536
KRAS,CEMIP,0.6
KRAS,PEX13,0.6
KRAS,PMS1,0.75
KRAS,PARPBP,0.5
KRAS,ZNF579,0.452
KRAS,PTPN18,0.6
KRAS,RNF166,0.467
KRAS,CLP1,0.5
KRAS,SYNE2,0.4
KRAS,REL,0.75
KRAS,DENND3,0.6
KRAS,KMT2A,0.75
KRAS,MTBP,0.449
KRAS,ZBTB8A,0.75
KRAS,ZBTB34,0.44
KRAS,STAT1,0.533
KRAS,ZNF764,0.6
KRAS,MED31,0.6
KRAS,RIN2,0.6
KRAS,EOGT,0.6
KRAS,RPL22,0.5
KRAS,NSA2,0.6
KRAS,CHKB,0.75
KRAS,DR1,0.5
KRAS,UCHL3,0.6
KRAS,OR2A4,0.6
KRAS,DDX20,0.5
KRAS,CMTM3,0.6
KRAS,LRRTM2,0.449
KRAS,PRR4,0.455
KRAS,RNF128,0.443
KRAS,KRTAP11-1,0.44
KRAS,ALS2,0.6
KRAS,USP17L12,0.5
KRAS,MYH15,0.449
KRAS,SPIN4,0.6
KRAS,POT1,0.5
KRAS,RPE,0.5
KRAS,AP2M1,0.5
KRAS,WDR74,0.5
KRAS,SULT1C3,0.5
KRAS,PTCH1,0.4
KRAS,BMPR1B,0.75
KRAS,MAGEC3,0.446
KRAS,TSSK2,0.75
KRAS,URB2,0.5
KRAS,TSC1,0.4
KRAS,PGC,0.5
KRAS,BCAS2,0.6
KRAS,BRD2,0.75
KRAS,SNAPC3,0.6
KRAS,SPATA5,0.5
KRAS,ZNF263,0.6
KRAS,POU4F1,0.443
KRAS,C19orf18,0.6
KRAS,SCAP,0.5
KRAS,RAD51AP1,0.5
KRAS,WRN,0.4
KRAS,ZNF136,0.6
KRAS,TBL1XR1,0.5
KRAS,PPP1R8,0.75
KRAS,TRIM41,0.6
KRAS,MAP2K5,0.75
KRAS,MRM3,0.5
KRAS,ZZZ3,0.44
KRAS,OR4C16,0.524
KRAS,MMADHC,0.6
KRAS,RXRG,0.518
KRAS,RXRB,0.75
KRAS,FNTB,0.6
KRAS,MSL2,0.449
KRAS,RHOBTB3,0.455
KRAS,GMPS,0.5
KRAS,COL12A1,0.6
KRAS,ZNF701,0.452
KRAS,GOLIM4,0.6
KRAS,MAP2K7,0.6
KRAS,PUF60,0.6
KRAS,ZMYM5,0.479
KRAS,SRSF9,0.479
KRAS,GTPBP4,0.5
KRAS,RPS6KL1,0.75
KRAS,H3C14,0.5
KRAS,KDM5B,0.6
KRAS,PIK3CB,0.6
KRAS,STARD10,0.449
KRAS,VPS53,0.557
KRAS,CDIPT,0.5
KRAS,ELK4,0.4
KRAS,CPSF1,0.6
KRAS,TXNL4A,0.449
KRAS,SYT5,0.75
KRAS,EEFSEC,0.5
KRAS,PELI3,0.5
